"preusuel";"sexratio_prenom";"n"
"kyam";1;38
"kyan";1;460
"kyana";0;173
"kyane";0,534883720930233;43
"kyann";1;111
"kyanna";0;21
"kyara";0;1527
"kyarah";0;55
"kyarra";0;25
"kyera";0;58
"kyeran";1;82
"kyéran";1;26
"kyhan";1;20
"kyla";0;44
"kylan";1;625
"kylane";1;33
"kylann";1;72
"kyle";1;1384
"kylee";0;26
"kylhian";1;74
"kylia";0;333
"kyliam";1;141
"kylian";1;26556
"kyliana";0;326
"kyliane";0,876623376623377;770
"kyliann";1;1452
"kylianna";0;56
"kylianne";0;21
"kyliano";1;25
"kylie";0;598
"kyllan";1;61
"kyllia";0;46
"kylliam";1;56
"kyllian";1;8578
"kylliana";0;52
"kylliane";0,804878048780488;123
"kylliann";1;141
"kyllie";0;28
"kyllyan";1;65
"kylson";1;20
"kylyan";1;117
"kylyann";1;23
"kym";0,133640552995392;217
"kymani";1;265
"kymberley";0;45
"kymea";0;21
"kyméo";1;45
"kymia";0;141
"kymie";0;51
"kynai";1;28
"kynaï";1;33
"kynan";1;173
"kynane";1;23
"kynann";1;21
"kyo";1;54
"kyra";0;465
"kyrah";0;25
"kyran";1;212
"kyrann";1;50
"kyria";0;164
"kyrian";1;490
"kyriane";0;23
"kyriann";1;42
"kyril";1;24
"kyrill";1;34
"kyrio";1;31
"kyron";1;106
"kyrsten";0;32
"kysha";0;44
"kyslon";1;33
"kyssia";0;23
"kytana";0;25
"kyvan";1;21
"l";1;33
"la";0;39
"laalia";0;34
"laaziz";1;20
"labib";1;47
"lacen";1;30
"lacene";1;41
"lachemi";1;30
"lachlan";1;20
"lachmi";1;33
"lacina";1;33
"lacine";1;21
"ladi";1;26
"ladislas";0,97289156626506;996
"ladislaw";1;60
"ladislawa";0;82
"ladji";1;501
"ladjy";1;25
"lady";0;130
"laeila";0;54
"lael";0,859030837004405;227
"laël";1;158
"laela";0;148
"laëla";0;23
"laelia";0;156
"laélia";0;49
"laëlia";0;28
"laelie";0;58
"laélie";0;36
"laëlie";0;20
"laelien";1;80
"laelle";0;52
"laëlle";0;36
"laena";0;141
"laéna";0;57
"laëna";0;45
"laeticia";0;2070
"laëticia";0;105
"laetitia";0;132452
"laétitia";0;909
"laêtitia";0;48
"laëtitia";0;9708
"lætitia";0;20
"laetizia";0;182
"laettitia";0;23
"laetytia";0;26
"lahbib";1;107
"lahcen";1;1113
"lahcene";1;715
"lahcène";1;46
"lahila";0;37
"lahina";0;65
"lahkdar";1;21
"lahlou";1;80
"lahna";0;1602
"lahoiri";1;24
"lahora";0;28
"lahouari";1;293
"lahouaria";0;90
"lahoucine";1;314
"lahoussine";1;95
"lahsen";1;53
"lahssen";1;40
"lahya";0;27
"lahyan";1;23
"lahyana";0;36
"lahyna";0;106
"laia";0;377
"laïa";0;361
"laiana";0;25
"laïana";0;57
"laiba";0;72
"laid";1;767
"laïd";1;79
"laida";0;79
"laidi";1;34
"laifa";1;31
"laika";0;205
"laïka";0;58
"laila";0;4786
"laïla";0;1124
"laili";0;20
"lailla";0;118
"laïlla";0;22
"lailou";0;24
"laily";0;26
"laïly";0;21
"laima";0;23
"laina";0;744
"laïna";0;786
"laïnah";0;23
"lainy";0;33
"lais";0,127340823970037;267
"laïs";0;138
"laisa";0;32
"laissa";0;162
"laïssa";0;72
"laith";1;47
"laititia";0;25
"laiyna";0;57
"laiza";0;34
"lakdar";1;597
"laken";0;52
"lakhdar";1;890
"lakshana";0;28
"lakshmi";0;45
"lala";0,0670553935860058;343
"lalaina";0,428571428571429;56
"lalao";0;23
"laldja";0;57
"lale";0;109
"lali";0;391
"lalia";0;696
"lalie";0;4377
"lalita";0;187
"lalitha";0;43
"laliya";0;100
"laliyah";0;23
"lalla";0;340
"lallia";0;56
"lallie";0;235
"lally";0;142
"lalo";1;62
"lalou";0,133587786259542;262
"laly";0;5802
"lalya";0;375
"lalyah";0;45
"lam";0,710526315789474;76
"lama";0;58
"lamar";0;52
"lamara";1;34
"lamata";0;25
"lamba";1;31
"lambert";0,929183581416328;2217
"lamberte";0;27
"lambertine";0;42
"lamia";0;3790
"lamiaa";0;80
"lamiae";0;137
"lamice";0;35
"lamin";1;49
"lamina";1;43
"lamine";1;1746
"lamini";1;22
"lamis";0;281
"lamiss";0;102
"lamisse";0;173
"lamiya";0;43
"lamjed";1;26
"lamri";1;154
"lamria";0;31
"lamya";0;880
"lamyaa";0;77
"lamyae";0;112
"lan";0,342857142857143;105
"lan-anh";0;23
"lana";0;21469
"lana-rose";0;37
"lanae";0;38
"lanaé";0;33
"lanaelle";0;24
"lanah";0;156
"lance";1;87
"lancelin";1;27
"lancelot";1;1434
"lancine";1;44
"landeline";0;24
"landing";1;33
"landon";1;49
"landry";0,969607315761162;3718
"landy";0,406593406593407;91
"lange";1;32
"lanha";0;21
"lani";0;36
"lanig";1;61
"lanna";0;648
"lannah";0;66
"lansana";1;90
"lany";0;20
"lanzo";1;89
"laodice";0;22
"laoiri";1;25
"laona";0;37
"laoni";1;36
"laonie";0;63
"laony";0,675324675324675;77
"laora";0;808
"laouari";1;87
"laouen";1;97
"laouenan";1;40
"laouna";0;28
"laouni";1;85
"laouny";1;22
"laoura";0;33
"lara";0;9432
"larah";0;35
"larbi";1;1468
"largo";1;128
"larine";0;22
"lario";1;22
"larisa";0;112
"larissa";0;1574
"laroussi";1;25
"larry";1;1039
"lars";1;129
"larsen";1;29
"lary";1;117
"laryssa";0;60
"lasaad";1;38
"lasad";1;22
"lasana";1;55
"lashuana";0;20
"lashwana";0;81
"laslo";1;99
"lassaad";1;50
"lassad";1;53
"lassana";1;1613
"lassane";1;25
"lassen";1;38
"lassina";1;105
"lassine";1;52
"laszlo";1;466
"latchimy";0;96
"late";1;21
"latefa";0;170
"lathifa";0;26
"latif";1;102
"latifa";0;3953
"latifah";0;59
"latife";0;29
"latiffa";0;21
"latika";0;118
"latimy";0;26
"latisha";0;25
"latoya";0;62
"lattifa";0;20
"latufa";0;40
"latyr";1;22
"lauane";0;22
"laubna";0;21
"laude";0;63
"laudine";0;196
"laugan";1;98
"laugane";0;39
"laughan";1;22
"laula";0;79
"launa";0;80
"launie";0;20
"launy";1;30
"laura";0;146768
"laura-lee";0;42
"laura-line";0;77
"laura-lou";0;38
"laura-lyne";0;25
"laura-lynn";0;20
"laura-maria";0;34
"laura-marie";0;65
"laura-may";0;24
"lauraine";0;245
"lauralee";0;384
"lauraleen";0;93
"lauralie";0;319
"lauraline";0;258
"lauraly";0;128
"lauralyn";0;20
"lauralyne";0;93
"laurana";0;239
"laurance";0;20
"laurane";0;1922
"laurann";0;29
"lauranna";0;29
"lauranne";0;1391
"laure";0,0013093879512283;83245
"laure-aline";0;21
"laure-amélie";0;32
"laure-anaïs";0;44
"laure-anna";0;21
"laure-anne";0;849
"laure-elise";0;57
"laure-emmanuelle";0;135
"laure-eva";0;25
"laure-hélène";0;324
"laure-line";0;227
"laure-lyne";0;24
"laure-marie";0;132
"laure-marine";0;25
"laure-sophie";0;21
"laurea";0;24
"laureana";0;73
"lauréana";0;21
"laureane";0;119
"lauréane";0;21
"laureanne";0;56
"laureano";1;43
"lauredana";0;78
"lauredane";0;42
"laureen";0;5031
"laureena";0;29
"laureene";0;40
"laureine";0;49
"laurel";0,592592592592593;108
"laurela";0;26
"laureleen";0;72
"laurelen";0;31
"laurelene";0;78
"laurelenn";0;195
"laurelia";0;102
"laurélia";0;32
"laurelie";0;98
"laurélie";0;29
"laureline";0;2725
"lauréline";0;250
"laurella";0;62
"laurelle";0;41
"laurelyn";0;20
"laurelyne";0;233
"laurélyne";0;46
"lauren";0;3972
"laurena";0;1499
"lauréna";0;177
"laurence";0,000582971725871295;181827
"laurence-marie";0;28
"laurencia";0;371
"laurencie";0;271
"laurencin";1;34
"laurencine";0;193
"laurenda";0;31
"laurene";0;6939
"lauréne";0;22
"laurène";0;1688
"laurenn";0;126
"laurenna";0;48
"laurenne";0;207
"laurens";1;137
"laurent";0,999692549344308;328508
"laurent-emmanuel";1;24
"laurent-olivier";1;23
"laurent-pierre";1;24
"laurente";0;39
"laurentia";0;52
"laurentie";0;44
"laurentin";1;88
"laurentina";0;20
"laurentine";0;1152
"laurentino";1;37
"laurentiu";1;48
"laurenza";0;212
"laurenzo";1;218
"laureta";0;20
"lauretta";0;197
"laurette";0;7775
"laureva";0;32
"laureyna";0;20
"lauri";1;28
"lauria";0;185
"laurian";1;209
"lauriana";0;457
"lauriane";0;13837
"laurianna";0;97
"laurianne";0;4820
"lauriano";1;25
"lauric";1;314
"laurice";0,232558139534884;86
"lauricia";0;37
"laurick";1;183
"laurie";0,0017827710316526;29729
"laurie-anne";0;577
"laurienne";0;47
"laurik";1;27
"laurin";1;20
"laurina";0;633
"laurinda";0;332
"laurine";0;24952
"laurinne";0;93
"lauris";0,935550935550936;481
"laurna";0;74
"lauro";1;25
"laurry";0;31
"laury";0,140143438650901;5159
"laury-ann";0;55
"laury-anne";0;124
"lauryana";0;56
"lauryane";0;273
"lauryann";0;24
"lauryanna";0;24
"lauryanne";0;109
"laurye";0;67
"lauryl";0;20
"lauryn";0;2039
"lauryna";0;81
"laurynda";0;24
"lauryne";0;4332
"laurynn";0;102
"laurynne";0;44
"laurys";0,881516587677725;211
"lautaro";1;22
"lautfi";1;25
"lauviah";0;25
"lavanya";0;35
"laventure";1;41
"lavin";0;31
"lavinia";0;234
"lawrence";0,867768595041322;605
"lawrens";1;24
"lawry";1;24
"lawson";1;57
"laya";0;548
"layachi";1;100
"layah";0;45
"layal";0;111
"layali";0;22
"layan";0,801762114537445;454
"layana";0;2152
"layanah";0;482
"layane";0,173626373626374;455
"layann";1;231
"layanna";0;372
"layannah";0;188
"layanne";0;27
"laye";1;38
"layel";0;111
"layene";0;22
"layhana";0;21
"layina";0;342
"layla";0;1753
"laylla";0;24
"layna";0;1313
"laynah";0;44
"laynie";0;23
"laynna";0;30
"layon";1;21
"layron";1;46
"laysa";0;45
"layssa";0;54
"layth";1;102
"layton";1;56
"layvin";1;188
"layya";0;27
"layyina";0;45
"lazar";1;355
"lazard";1;26
"lazare";0,938946662193895;2981
"lazarette";0;133
"lazarine";0;341
"lazaro";1;80
"lazarre";1;39
"lazhar";1;282
"lazhare";1;20
"laziz";1;45
"laziza";0;33
"lazlo";1;78
"lazreg";1;26
"lazzaro";1;22
"le";0,47906976744186;215
"lea";0;6678
"léa";0,000786968217799884;194417
"lèa";0;20
"léa-lou";0;23
"léa-marie";0;220
"léa-rose";0;74
"leah";0;987
"léah";0;277
"lealine";0;21
"lean";0,626373626373626;91
"léan";1;23
"leana";0;2217
"léana";0;13416
"lëana";0;26
"leanah";0;38
"léanah";0;52
"leander";1;39
"leandra";0;587
"léandra";0;189
"leandre";1;833
"léandre";0,947668481960517;11752
"leandro";1;3952
"léandro";1;1956
"leandru";1;58
"leandry";1;33
"leane";0;1278
"léane";0;15386
"leanie";0;76
"léanie";0;58
"leann";0;333
"léann";0;103
"leanna";0;815
"léanna";0;713
"léannah";0;24
"leanne";0;2223
"léanne";0;946
"leanor";0;38
"léanor";0;23
"leanore";0;49
"léanore";0;43
"leany";0;28
"léany";0;23
"leart";1;66
"leaticia";0;43
"leatitia";0;227
"lebna";0;66
"lebron";1;20
"lebrun";1;22
"leccia";0;23
"leda";0;141
"ledion";1;45
"lee";0,623700623700624;481
"lee-ann";0;140
"lee-anna";0;29
"lee-anne";0;42
"lee-loo";0;30
"lee-lou";0;477
"lee-roy";1;171
"leela";0;168
"leeloo";0;1114
"leelou";0;2091
"leely";0;23
"leen";0;112
"leena";0;765
"leeroy";1;901
"leevan";1;122
"leeven";1;22
"leewan";1;28
"leeya";0;46
"leeyah";0;99
"leeyanah";0;20
"leger";1;396
"leha";0;60
"léha";0;26
"lehana";0;40
"léhana";0;47
"lehane";0;57
"léhane";0;33
"léhanna";0;26
"lehanne";0;25
"lehena";0;20
"lehina";0;27
"lehna";0;960
"léhna";0;72
"lehny";1;27
"leho";1;107
"lého";1;93
"lehyan";1;250
"léhyan";1;20
"lehyna";0;26
"lei";0;20
"leia";0;2003
"leïa";0;849
"léia";0;156
"léïa";0;173
"leiana";0;47
"leïana";0;31
"leiane";0;27
"leidy";0;35
"leif";1;63
"leika";0;63
"leila";0;22494
"leïla";0;5111
"léïla";0;37
"leilah";0;63
"leilana";0;23
"leïlana";0;30
"leilani";0;154
"leïlani";0;29
"leilanie";0;44
"leïlanie";0;24
"leilany";0;32
"leïlany";0;39
"leili";0;28
"leilia";0;48
"leilla";0;206
"leïlla";0;27
"leiloo";0;23
"leilou";0;309
"leïlou";0;67
"leily";0;59
"leïly";0;39
"leina";0;1452
"leïna";0;995
"léina";0;37
"léïna";0;121
"leine";0;54
"leiny";1;45
"leire";0;166
"leis";1;31
"leissa";0;32
"leith";1;72
"leiticia";0;36
"leititia";0;66
"leito";1;48
"leïto";1;37
"leiya";0;117
"leïya";0;46
"leiyna";0;23
"lejla";0;68
"lela";0;112
"lelia";0;1230
"lélia";0;317
"lelian";1;73
"leliana";0;23
"léliana";0;21
"leliane";0;25
"lelie";0;48
"lélie";0;21
"lelio";1;495
"lélio";1;372
"lella";0;51
"lelya";0;123
"lélya";0;53
"lelyo";1;21
"lélyo";1;23
"lemi";1;45
"lemia";0;67
"lemis";0;26
"lemmy";1;206
"lemuel";1;82
"lemy";1;37
"lemya";0;38
"len";1;31
"lena";0;7591
"léna";0;49330
"lèna";0;94
"lëna";0;28
"léna-lou";0;32
"léna-marie";0;29
"léna-rose";0;54
"lenael";0,724770642201835;109
"lenaël";1;20
"lénaël";1;119
"lenaelle";0;393
"lenaëlle";0;38
"lénaelle";0;43
"lénaëlle";0;222
"lenah";0;73
"lénah";0;65
"lenaic";0,73469387755102;1617
"lenaïc";0,714285714285714;147
"lénaïc";0,74294670846395;319
"lenaick";0,417378917378917;702
"lenaïck";0,634146341463415;82
"lénaïck";0,593103448275862;145
"lenaig";0,0171149144254279;1227
"lenaïg";0;178
"lénaïg";0;194
"lenaik";0,274021352313167;281
"lénaïk";0,471698113207547;53
"lenais";0;212
"lenaïs";0;28
"lénaïs";0;258
"lenaya";0;35
"lénaya";0;52
"lenda";0;44
"lendon";1;97
"leng";1;23
"lenha";0;25
"leni";0,912337662337662;1232
"léni";0,930320150659134;531
"lenia";0;44
"lenie";0;213
"lénie";0;105
"lenis";1;30
"lenita";0;38
"lenka";0;134
"lenna";0;976
"lénna";0;94
"lennah";0;25
"lennart";1;26
"lenni";1;215
"lennie";0,0494505494505494;546
"lennon";1;155
"lennox";1;38
"lenny";0,987941878117545;23055
"lénny";1;96
"lennys";1;26
"leno";1;52
"léno";1;35
"lenora";0;202
"lénora";0;75
"lens";1;37
"leny";0,981137815637359;6574
"lény";1;1311
"lenya";0;38
"lenys";1;41
"lenz";1;25
"lenza";0;27
"lenzo";1;2193
"leo";1;7510
"léo";0,999059085174176;93526
"leo-paul";1;114
"léo-paul";1;1663
"léo-pol";1;73
"leocade";1;39
"leocadia";0;205
"leocadie";0,0674870980547836;2519
"léocadie";0;108
"leoda";0;37
"leodie";0;51
"leokadia";0;26
"leokadja";0;32
"leola";0;26
"leolia";0;34
"leoline";0;27
"leon";1;1557
"léon";0,998974332892551;117972
"léon-paul";1;32
"leona";0;3716
"léona";0;867
"leonard";0,98470202572077;11897
"léonard";1;2647
"leonarda";0;113
"leonarde";0;138
"leonardo";1;1810
"léonardo";1;172
"leonce";0,779939797892926;9302
"léonce";0,741444866920152;263
"leoncette";0;42
"leoncia";0;443
"leoncie";0;615
"leoncine";0;91
"leone";0,672131147540984;61
"léone";0,00641315519013361;24325
"leonel";1;1175
"léonel";1;88
"leonella";0;26
"leonelle";0;25
"leonette";0;48
"leoni";0,168067226890756;119
"léoni";0,366666666666667;60
"leonia";0;135
"leonice";0;46
"leonid";1;109
"léonid";1;33
"leonida";0;46
"leonidas";1;169
"léonidas";1;46
"leonide";0,215452261306533;1592
"leonie";0;2488
"léonie";0,000390507126755063;56337
"leonien";1;107
"leonilda";0;41
"leonilde";0;65
"leonille";0;45
"léonille";0;30
"leonin";1;41
"léonin";1;31
"leonine";0;94
"leonis";1;151
"léonis";1;156
"leonise";0;160
"leonit";1;28
"leonita";0;49
"leonna";0;35
"léonna";0;28
"leonne";0;2210
"léonne";0;67
"leonnie";0;165
"léonnie";0;75
"leonny";0;56
"léonny";0;31
"leonor";0,0593155893536122;1315
"léonor";0;279
"leonora";0;313
"léonora";0;54
"leonore";0;1988
"léonore";0;958
"leonte";0;49
"leontel";1;20
"leontia";0;36
"leontin";1;84
"leontina";0;28
"leontine";0;86
"léontine";0;23626
"leonus";1;373
"leony";0,137380191693291;313
"léony";0,132203389830508;295
"leonys";1;22
"leopaul";1;129
"léopaul";1;129
"leopol";1;138
"léopol";1;51
"leopold";0,994446348988687;14585
"léopold";1;2087
"leopoldine";0;1531
"léopoldine";0;477
"leopoldo";1;93
"leora";0;89
"léora";0;27
"leria";0;153
"leroy";1;198
"lery";1;53
"lesia";0;501
"lésia";0;134
"lesley";0,127777777777778;180
"leslie";0,0135496058888672;15351
"leslie-ann";0;23
"leslie-anne";0;112
"lesline";0;38
"lesly";0,0929892891918208;2054
"lesly-anne";0;22
"leslye";0;119
"lessandro";1;20
"lessia";0;20
"lestat";1;23
"lester";1;80
"leszek";1;57
"lethicia";0;35
"leticia";0;1228
"léticia";0;120
"letisia";0;24
"letissia";0;29
"letitia";0;772
"létitia";0;50
"letizia";0;567
"létizia";0;24
"leto";1;33
"lettie";0;21
"letty";0;252
"leu";0,845238095238095;168
"lev";0,657894736842105;76
"levan";1;82
"lévan";1;23
"levana";0;757
"lévana";0;179
"levanah";0;115
"lévanah";0;41
"levanna";0;47
"levannah";0;24
"leven";1;29
"levent";1;203
"levi";1;808
"lévi";1;276
"levin";1;38
"levina";0;25
"levine";1;21
"levis";1;39
"levon";1;156
"lévon";1;31
"levy";1;901
"lévy";1;203
"levyn";1;46
"lévyn";1;21
"lewan";1;20
"lewen";1;21
"lewis";1;1570
"léwis";1;31
"lewys";1;45
"lex";1;31
"lexa";0;62
"lexane";0;500
"lexi";0;61
"lexia";0;66
"lexie";0;1389
"léxie";0;57
"lexy";0,0840336134453782;357
"léxy";0;25
"leya";0;1198
"léya";0;130
"leyah";0;81
"leyan";0,789473684210526;190
"léyan";1;24
"leyana";0;328
"léyana";0;57
"leyanah";0;33
"leyane";0;63
"leyann";1;68
"leyanna";0;73
"leyannah";0;21
"leyanne";0;29
"leyel";0;20
"leyhan";1;28
"leyina";0;92
"leyla";0;2526
"leylana";0;22
"leyli";0;39
"leylou";0;86
"leyna";0;3424
"léyna";0;70
"leynah";0;52
"leynna";0;40
"leyson";1;21
"leyth";1;81
"leyti";1;25
"leyton";1;48
"leyya";0;95
"lezia";0;32
"lezin";0,87962962962963;216
"lezine";0;21
"lhabib";1;23
"lhacen";1;21
"lhacene";1;23
"lhachmi";1;20
"lhadi";1;51
"lhana";0;122
"lhassa";0;32
"lhea";0;67
"lhena";0;61
"lheo";1;51
"lhéo";1;39
"lhiva";0;20
"lhoucine";1;45
"lhoussaine";1;29
"lhoussine";1;20
"lhya";0;38
"lhyam";1;34
"li";0,257142857142857;175
"li-ann";0;39
"li-lou";0;45
"li-na";0;22
"lia";0;3823
"lïa";0;153
"liaam";1;53
"liah";0;243
"liam";0,99713050742799;27531
"liâm";1;72
"lïam";1;173
"liame";0;25
"liamine";1;95
"lian";1;47
"liana";0;2414
"lïana";0;44
"lianah";0;27
"liandra";0;20
"liandro";1;94
"liane";0;810
"lianna";0;169
"lianne";0;25
"liano";1;69
"liantsoa";0;33
"liara";0;35
"lias";1;31
"liat";0;32
"liazid";1;161
"libasse";1;21
"libera";0;113
"liberata";0;23
"liberato";1;22
"libero";1;132
"libert";1;106
"liberta";0;84
"libertad";0;101
"liberte";0;196
"liberto";1;165
"liberty";0;53
"liborio";1;73
"libre";0;22
"licia";0;406
"licinia";0;52
"licinio";1;68
"lida";0;283
"lidia";0;2152
"lidiana";0;22
"lidiane";0;36
"lidie";0;274
"lidija";0;84
"lidio";1;24
"lidivine";0;45
"lido";1;71
"lidvine";0;74
"lidwina";0;27
"lidwine";0;1044
"lidy";0;319
"lidya";0;221
"lidye";0;82
"lidzy";0;32
"lie";0,758409785932722;327
"liebert";1;24
"liece";1;22
"liee";0;33
"liel";0,145985401459854;137
"liela";0;20
"lielle";0;26
"liem";1;66
"liêm";1;34
"lien";0;30
"liena";0;33
"lies";1;248
"liese";0;26
"liesel";0;34
"lieselotte";0;136
"liess";1;66
"liesse";1;92
"liette";0;78
"lieve";0;21
"lieven";1;31
"lievin";1;178
"lievine";0;25
"ligia";0;61
"liha";0;37
"liham";1;866
"lihana";0;90
"lihanna";0;56
"lihya";0;55
"lika";0;81
"lil";0;20
"lila";0;13925
"lila-may";0;22
"lila-rose";0;249
"lilah";0;390
"lilan";1;21
"lilana";0;32
"lilandra";0;37
"lilas";0;3693
"lilas-rose";0;112
"lile";0;29
"lilea";0;41
"liléa";0;29
"lilette";0;264
"lili";0;6438
"lili-fleur";0;25
"lili-jade";0;33
"lili-jeanne";0;133
"lili-marie";0;95
"lili-may";0;64
"lili-rose";0;1664
"lilia";0;10366
"liliah";0;43
"liliam";1;34
"lilian";0,987686150767692;25987
"liliana";0;1400
"liliane";0;112069
"lilianna";0;44
"lilianne";0;2200
"lilias";0;32
"lilie";0;2276
"lilie-rose";0;158
"lilien";1;90
"lilienne";0;21
"liliette";0;27
"lilio";1;678
"lilirose";0;204
"lilit";0;42
"lilith";0;251
"liliya";0;32
"lilja";0;21
"lilla";0;368
"lillah";0;67
"lilli";0;391
"lillia";0;198
"lillian";0,797058823529412;340
"lilliana";0;25
"lilliane";0;195
"lillie";0;157
"lilline";0;61
"lillo";1;80
"lillou";0;124
"lilly";0;4460
"lilly-may";0;25
"lilly-rose";0;750
"lillya";0;62
"lilo";0,400958466453674;626
"liloa";0;30
"liloe";0;65
"liloé";0;66
"liloo";0;872
"lilou";0,000580298853909764;41358
"lilou-ann";0;40
"lilou-anne";0;46
"lilou-rose";0;52
"lilouan";1;187
"lilouane";0;109
"lilouann";0;26
"liloue";0;94
"lilouenn";0;25
"lilouna";0;35
"liloye";0;96
"lilwen";0;365
"lilwenn";0;1775
"lily";0;18682
"lily-ann";0;30
"lily-anne";0;47
"lily-fleur";0;30
"lily-jade";0;97
"lily-jane";0;45
"lily-jeanne";0;102
"lily-lou";0;57
"lily-marie";0;126
"lily-may";0;103
"lily-rose";0;5093
"lilya";0;3864
"lilyah";0;85
"lilyan";1;441
"lilyana";0;149
"lilyane";0;215
"lilyanna";0;25
"lilye";0;37
"lilyo";1;50
"lilyrose";0;192
"lima";0;74
"limar";0;20
"lin";0,757664233576642;685
"lina";0;55528
"lîna";0;53
"lïna";0;20
"lina-maria";0;38
"lina-marie";0;33
"lina-rose";0;78
"linaelle";0;104
"linaëlle";0;81
"linah";0;107
"linaly";0;23
"linaya";0;274
"linayah";0;31
"lincey";0;123
"lincia";0;29
"lincoln";1;83
"lincy";0;26
"linda";0;30729
"lindia";0;45
"lindo";1;28
"lindsay";0,0113238384310063;8566
"lindsey";0,0146430750457596;1639
"lindsy";0;39
"lindy";0;351
"line";0;13341
"line-marie";0;35
"line-rose";0;147
"linea";0;32
"lineda";0;83
"lines";0;26
"linès";0;21
"linette";0;1043
"ling";0;36
"linh";0,112612612612613;222
"link";1;28
"linka";0;24
"linley";0,51219512195122;41
"linn";0;50
"linna";0;144
"linnea";0;54
"lino";1;5228
"linoa";0;722
"linoi";0;105
"linoï";0;44
"linon";0;139
"linor";0;26
"linoy";0;77
"linsay";0;753
"linsey";0;446
"linus";1;46
"linzo";1;26
"linzy";0;31
"lio";0;208
"lioba";0;20
"lion";1;35
"liona";0;131
"lionel";1;92212
"lionele";0;34
"lionella";0;33
"lionelle";0;353
"lionnel";1;2653
"lionnelle";0;20
"liony";1;21
"lior";0,803252032520325;615
"liora";0;632
"liorah";0;40
"lioris";1;47
"liorys";1;21
"liou";0;39
"liouba";0;60
"liova";1;20
"lirane";0;41
"liria";0;52
"lirio";1;37
"liron";1;95
"lirone";0,87906976744186;215
"liroy";1;155
"liroye";1;20
"lisa";0;65820
"lisa-lou";0;148
"lisa-maria";0;103
"lisa-marie";0;1111
"lisa-mary";0;42
"lisa-may";0;21
"lisa-rose";0;120
"lisabete";0;43
"lisabeth";0;27
"lisaline";0;22
"lisana";0;79
"lisandra";0;279
"lisandre";0,603658536585366;328
"lisandrina";0;72
"lisandro";1;1957
"lisandru";1;814
"lisane";0;21
"lisanna";0;60
"lisanne";0;54
"lisbeth";0;583
"lise";0;34044
"lise-anne";0;81
"lise-berthe";0;30
"lise-hélène";0;20
"lise-laure";0;30
"lise-marie";0;712
"lise-may";0;124
"lise-rose";0;29
"lisea";0;657
"liséa";0;388
"liseberthe";0;24
"lisebeth";0;21
"liseline";0;20
"liselle";0;46
"liselotte";0;667
"lisemay";0;27
"lisenn";0;133
"lisete";0;22
"lisette";0;4492
"lisia";0;179
"lisian";1;31
"lisiana";0;31
"lisiane";0;2788
"lisianne";0;230
"lisie";0;270
"lison";0;9865
"lissa";0;129
"lissana";0;108
"lissandra";0;86
"lissandre";0,705882352941177;221
"lissandro";1;738
"lissia";0;84
"lisy";0;502
"lisyane";0;68
"lita";0;100
"lital";0;119
"liticia";0;26
"litzy";0;25
"liu";0;25
"liv";0;1462
"liva";0;106
"livai";1;45
"livaï";1;20
"livan";1;78
"livana";0;33
"livane";0;27
"livay";1;33
"liven";1;23
"livia";0;6815
"liviana";0;68
"liviane";0;36
"livie";0;251
"livier";1;73
"livina";0;22
"livio";1;3685
"liviu";1;33
"livna";0;40
"livy";0;84
"livya";0;46
"liwan";1;38
"liwane";0;24
"liway";0;26
"liwen";0,446808510638298;94
"liwenn";0;59
"liya";0;1739
"liyah";0;670
"liyam";1;412
"liyana";0;385
"liyanah";0;37
"liyann";1;20
"liyanna";0;58
"liyes";1;28
"liz";0;1104
"liza";0;2963
"lizabete";0;31
"lizaig";0;31
"lizandra";0;26
"lizandro";1;98
"lizbeth";0;25
"lize";0;200
"lizea";0;891
"lizéa";0;564
"lizenn";0;79
"lizete";0;23
"lizette";0;43
"lizi";0;58
"lizia";0;153
"liziane";0;68
"liziano";1;28
"lizie";0;359
"lizig";0;42
"lizio";1;101
"lizon";0;281
"lizy";0;287
"lizzie";0;976
"lizzy";0;338
"ljiljana";0;103
"ljubica";0;33
"ljubisa";1;27
"lliam";1;21
"llona";0;148
"lloris";1;136
"llorys";1;29
"lloyd";1;632
"lluis";1;50
"llyam";1;25
"loa";0;155
"loai";1;43
"loaï";1;20
"loam";1;142
"loan";0,840737570995098;12853
"loana";0;991
"loane";0,0082799408575653;10145
"loanie";0;31
"loann";0,722913505311077;3295
"loanna";0;169
"loanne";0;2293
"loaven";0;40
"loay";1;152
"loaye";1;20
"lobna";0;566
"lochlann";1;28
"lockman";1;28
"lodois";1;76
"lodoiska";0;60
"loe";0,323863636363636;176
"loé";0,462365591397849;186
"loeiz";1;297
"loeiza";0;472
"loeïza";0;33
"loelia";0;650
"loélia";0;268
"loëlia";0;54
"loelie";0;173
"loélie";0;197
"loëlie";0;23
"loeline";0;74
"loéline";0;96
"loely";0;27
"loély";0;39
"loëly";0;25
"loelya";0;43
"loélya";0;54
"loëlya";0;36
"loélyne";0;20
"loen";1;190
"loën";1;94
"loena";0;104
"loéna";0;63
"loenan";1;25
"loenie";0;41
"loénie";0;30
"loenn";1;75
"loënn";1;21
"loenzo";1;29
"loetare";0,541463414634146;205
"loeticia";0;83
"loetitia";0;3789
"loétitia";0;23
"loëtitia";0;85
"loetizia";0;55
"loeva";0;542
"loéva";0;148
"loëva";0;103
"loevan";1;865
"loévan";1;422
